nu_inscricao,nota_cn,nota_ch,nota_lc,nota_mt,media_aluno,nota_redacao,escola_do_aluno,escola_da_prova,faixa_etaria,tipo_escola,genero,cor_raca,sigla_estado,Estado,estado_civil,quantidade_total,quantidade_desistentes,quantidade_aplicantes,metrica_celular,metrica_computador,metrica_internet,escola_r_u,renda_mensal,lingua_estrangeira
190005686540,504,508,512,516,510.0,620,,Macaíba,22 anos,null,M,Preta,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190005970232,505,508,512,518,510.75,360,,Tangará da Serra,Menor de 17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190002040181,506,508,512,517,510.75,420,,Iporá,Menor de 17 anos,null,F,Amarela,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 2.994,01 até R$ 3.992,00",Inglês
190005853117,503,508,512,515,509.5,520,,Hortolândia,Entre 41 e 45 anos,null,F,Parda,,null,Casado(a)/Mora com companheiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190005355110,503,508,512,515,509.5,780,,Vila Velha,Menor de 17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190002738671,503,508,512,515,509.5,300,,Araruna,17 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Não,Não,Não,null,"Até R$ 998,00",Espanhol
190005925179,503,508,512,515,509.5,780,,Porto Alegre,21 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190004752034,505,508,512,518,510.75,600,,Trindade,Entre 26 e 30 anos,null,M,Amarela,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.996,01 até R$ 2.495,00",Espanhol
190001188627,505,508,512,518,510.75,600,,Caxias,Entre 46 e 50 anos,null,M,Parda,,null,Divorciado(a)/Desquitado(a)/Separado(a),5095171,1160010,3935161,Sim,Não,Sim,null,"Até R$ 998,00",Espanhol
190003283735,504,508,512,516,510.0,660,,Santa Inês,Entre 26 e 30 anos,null,F,Parda,,null,Casado(a)/Mora com companheiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190004791837,503,508,512,515,509.5,760,,São Paulo,Menor de 17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 14.970,01 até R$ 19.960,00",Inglês
190001295898,504,508,512,516,510.0,920,,Ipatinga,18 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190002111013,505,508,512,518,510.75,460,,Carapicuíba,Entre 36 e 40 anos,null,M,Branca,,null,Não,5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Espanhol
190002101155,505,508,512,518,510.75,540,,Carapicuíba,Entre 26 e 30 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"Até R$ 998,00",Espanhol
190004734059,504,508,512,516,510.0,480,,Brasília,19 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Não,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190002722524,506,508,512,517,510.75,680,,Brasília,19 anos,null,F,Indígena,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190004873738,503,508,512,515,509.5,560,,Florianópolis,21 anos,null,M,Preta,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Inglês
190005346902,503,508,512,515,509.5,540,,Curitiba,19 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Inglês
190003801828,505,508,512,518,510.75,640,,Cataguases,Entre 31 e 35 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Inglês
190002067105,505,508,512,518,510.75,640,,Grajaú,19 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"Até R$ 998,00",Espanhol
190002323427,506,508,512,517,510.75,560,,Araucária,19 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 2.994,01 até R$ 3.992,00",Espanhol
190006035760,503,508,512,515,509.5,540,,Goiânia,19 anos,null,M,Branca,,null,Casado(a)/Mora com companheiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 2.495,01 até R$ 2.994,00",Espanhol
190002298910,503,508,512,515,509.5,600,,Ibititá,22 anos,null,M,Não declarado,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Inglês
190003452971,505,508,512,518,510.75,580,,Petrolina,19 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"Até R$ 998,00",Inglês
190003244040,504,508,512,516,510.0,660,,São Luís,Entre 26 e 30 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Inglês
190004033617,505,508,512,518,510.75,420,,Niterói,Menor de 17 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 3.992,01 até R$ 4.990,00",Inglês
190004736149,,508,512,,255.0,660,,São José do Rio Preto,Menor de 17 anos,null,M,Branca,,null,Não,5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 3.992,01 até R$ 4.990,00",Inglês
190002026031,504,508,512,516,510.0,820,,Raposa,25 anos,null,F,Preta,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190001396621,503,508,512,515,509.5,700,,Itaberaba,18 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 2.495,01 até R$ 2.994,00",Inglês
190004634108,503,508,512,515,509.5,920,,São Paulo,19 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 6.986,01 até R$ 7.984,00",Inglês
190004831678,505,508,512,518,510.75,600,,Goiânia,17 anos,null,F,Parda,,null,Não,5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 4.990,01 até R$ 5.988,00",Inglês
190001924526,503,508,512,515,509.5,640,,Altos,Menor de 17 anos,null,M,Amarela,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Espanhol
190001074084,505,508,512,518,510.75,660,,Manaus,19 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"Até R$ 998,00",Inglês
190001205302,506,508,512,517,510.75,600,,Santana,23 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190005079740,504,508,512,516,510.0,500,,Mazagão,22 anos,null,M,Parda,,null,Não,5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190002532835,505,508,512,518,510.75,720,,Ribeirão,Menor de 17 anos,null,M,Preta,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.996,01 até R$ 2.495,00",Espanhol
190002012681,504,508,512,516,510.0,600,,Santa Inês,22 anos,null,M,Preta,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190005268740,503,508,512,515,509.5,580,,Conselheiro Lafaiete,Menor de 17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Inglês
190005724094,504,508,512,516,510.0,480,,Ribeirão das Neves,24 anos,null,M,Não declarado,,null,Não,5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Inglês
190005084694,503,508,512,515,509.5,340,,Curu�á,19 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190005139476,504,508,512,516,510.0,900,,Indaiatuba,19 anos,null,M,Preta,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Inglês
190002949617,503,508,512,515,509.5,620,,Canarana,21 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190001417220,,508,512,,255.0,480,,Estância,Menor de 17 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190001787651,505,508,512,518,510.75,660,,Aparecida de Goiânia,19 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"Até R$ 998,00",Espanhol
